year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
2005,West Caribbean Airways,"Panama City - Fort De France, Martinique",Mcdonnell Douglas Md-82,0,Hk-4374X,160,152,8,152,8,160,0,160,Venezuela,"While en route, the crew reported engine trouble with both engines and planed to divert to Caracas. The plane began losing altitude and eventually crashed in the Sierra de Perija mountains on the Columbian-Venezuelan border. The autopilot might have reduced engine power too much after a rapid climb to FL330, allowing airspeed to bleed off to the point of a stall. Also the data recorder showed that rather than push the nose over to recover from the stall, the pilots held the yoke to their chests all the way to the ground. It has also been suggesting that a buildup of ice inside each engine's PT2 probe was responsible for the accident."
2005,Tans Peru,Lima - Pucallpa - Iquitos,Boeing B-737-244,0,Ob-1809,98,92,6,36,4,40,0,40,Peru,"The plane was about to land at Pucallpa when it ran into strong winds from a tropical storm. The pilot tried to make an emergency landing without its landing gear on a road near the jungle airport. The plane crashed, broke up and caught fire about 2 miles from the airport. Passengers reported heavy turbulence and flames when the plane crashed. The exact cause of the crash is still unknown, but it is believed that the plane was making an emergency landing because of a hailstorm."
2005,Mandala Airlines,Medan - Jakarta,Boeing 737-230,0,Pk-Rim,117,112,5,94,5,99,44,143,Indonesia,"Seconds after taking off the jetliner shook violently, veered to the left and crashed into a residential neighborhood 500 yards past the end of the runway. It is speculated that the plane was overloaded."
2005,Kavatshi Airlines,Beni - Isiro,Antonov 26B,0,Er-Azt,11,7,4,7,4,11,0,11,Democratic Republic of the Congo,"While on approach to Runway 31 the plane hit trees, crashed and burned."
2005,Air Kasai,Boende - Kinshasa,Antonov An-26A,0,9Q-Cfd,14,11,3,11,3,14,0,14,Congo,"While en route, a witness saw the plane lose altitude and crash to the ground and disintegrate into pieces north of Brazzaville. Weather was poor with thunderstorms and strong winds."
2005,Wimbi Dira Airways,Kisangani - Bunia,Antonov 12V,0,9Q-Cwc,100,96,4,2,0,2,0,2,Democratic Republic of the Congo,The aircraft carrying troops made a hard landing causing the landing gear to penetrate the fuselage. Two passengers were killed when they exited the plane and ran into the propellers which were still turning.
2005,Bellview Airlines,Lagos - Abuja,Boeing B-737-2L9,0,5N-Bfn,117,111,6,111,6,117,0,117,Nigeria,"The tower lost sight and contact with the plane about five minutes after taking off from Murtala Muhammad International  airport. The plane crashed about 30 miles north of Lagos.  A storm was passing through the airport at about the time the aircraft took off. A combination of poor maintenance of the plane by the ground crew together with a lightning strike to the right wing of the plane caused the right engine to ignite, causing the aircraft to bank heavily to the left and eventually lose control."
2005,Military - Islamic Republic Of Iran Air Force,Tehran - Bandar Abbas,Lockheed C-130B Hercules,0,5-8512,94,84,10,84,10,94,14,108,Iran,The military plane crashed into an apartment building in the Azari district after taking off from Mehrabad Airport. The plane suffered engine failure and was attempting to return for a emergency landing.
2005,Southwest Airlines,"Baltimore, Maryland - Chicago, Illinois - Las Vegas, Nevada",Boeing B-737-7H4,0,N471Wn,103,98,5,0,0,0,1,1,United States,"The jetliner slid off Runway 13C at Chicago's Midway Airport, went through an airport boundary fence and crashed into two vehicles at a nearby intersection, killing a young 6- year-old boy. Heavy snow was falling at the time of the accident. The plane had circled the airport for 30 to 35 minutes before attempting to land. The pilots' failure to use available reverse thrust in a timely manner to safely slow or stop the airplane after landing, which resulted in a runway overrun. This failure occurred because the pilots' first experience and lack of familiarity with the airplane's autobrake system distracted them from thrust reverser usage during the challenging landing. Contributing to the accident were Southwest Airline's 1) failure to provide its pilots with clear and consistent guidance and training regarding company policies and procedures related to arrival landing distance calculations; 2) programming and design of its onboard performance computer, which did not present inherent assumptions in the program critical to pilot decision making; 3) plan to implement new autobrake procedures without a familiarization period; and 4) failure to include a margin of safety in the arrival assessment to account for operational uncertainties. Also contributing to the accident was the pilots' failure to divert to another airport given reports that included poor braking action and a tailwind component greater than 5 knots. Contributing to the severity of the accident was the absence of an engineering materials arresting system, which was needed because of the limited runway safety area beyond the departure end of runway 31C."
2005,Sosoliso Airlines,Abuja - Port Harcourt,Mcdonnell Dc-9-32,0,5N-Bfd,110,103,7,101,7,108,0,108,Nigeria,"The plane crash-landed and burst into flames in a lightning storm while attempting to land at Port Harcourt Airport. Pilot error. The crew's decision to continue to approach below the decision altitude without having the runway in sight.  It was recommended to improve the training of Nigerian pilots to recognize and recover from adverse weather conditions including windshear. Also, airports and aircraft should be equipped with instruments to detect windshear. In addition, it was recommended that airports and aircraft be equipped with instruments to detect windshear."
2005,Chalk'S Ocean Airways,"Miami, Florida - Bimini, Bahamas",Grumman G73T Turbo Mallard,0,N2969,20,18,2,18,2,20,0,20,United States,"The seaplane crashed off Miami Beach next to a jetty as it was taking off. There was an explosion and fire and the right wing separated prior to the plane impacting the water. Examination of the wreckage revealed fatigue cracks in the right wing. The failure of Chalk's Ocean Airways' maintenance program to identify and properly repair fatigue cracks in the wing, and the failure of the FAA to detect and correct deficiencies in the company's maintenance program. Although a 16-inch crack in the wing had been patched, a more significant flaw in a nearby support beam hadn't been repaired. The carrier had no record of patching the crack."
2005,Azerbaijan Airlines,"Baku, Azerbaijan - Aktau, Kazakhstan",Antonov An-140-100,0,4K-Az48,23,18,5,18,5,23,0,23,Azerbaijan,The plane crashed along the shore of the Caspian Sea 8 minutes after taking off from Baku. Instrument failure left the crew unable to control the aircraft.
2006,Evolga,Moscow - Karkov,British Aerospace Bae-125-700A,0,P4-Aod,3,0,3,0,3,3,0,3,Karkov,"On a positionning flight from Sheremetyevo to Kharkov to pick up passengers, while on final approach, the aircraft crashed in a frozen lake 3 km from runway threshold."
2006,Service Air,Entebbe - Kinshasa,Antonov 12,0,9Q-Cih,6,0,6,0,6,6,0,6,Uganda,The cargo plane carrying humanitarian relief items crashed shortly after takeoff. The cause was determined to be engine failure and an overweight and improperly balanced plane.
2006,Military - Iranian Revolutionary Guard Corps Air Force,Tehran - Orumiyeh,Dassault Falcon 20,0,15-2233,11,8,3,8,3,11,0,11,Iran,"After a flyby to check on a stuck landing gear, the plane suffered a double engine flame-out and crashed into a field in poor weather conditions."
2006,Military - Slovak Air Force,Pristina - Kosice,Antonov An-24V,0,5605,43,35,8,34,8,42,0,42,Hungary,"A plane carrying peacekeeping soldiers crashed in a snowy forest at an altitude of 2,300 feet after taking the wrong flight path. The plane crashed about 18 miles from its destination of Kosice. Pilot error. The pilot chose to land without the help of the airport's radars, relying only on his own visual contact with the airport."
2006,Tricoastal Air,"Dayton, Ohio -",Swearingen Sa.226Tc Metro Ii,0,N629Ek,1,0,1,0,1,1,0,1,United States,"The pilot of the cargo flight reported he had an asymmetric fuel condition. The pilot  asked for a lower altitude and controllers cleared the flight to 4,000 feet. About a minute later the pilot transmitted six ""Maydays."" The airplane then descended in  a near vertical dive until it crashed into a pasture. The pilot's inflight loss of control following a reported fuel asymmetry condition for undetermined reasons."
2006,Team Air,Macaé - Rio De Janeiro,Let L410Uvp-E20,0,Pt-Fse,19,17,2,17,2,19,0,19,Brazil,"Twenty minutes after taking off from Macaé, the plane disappeared of Rio de Janeiro radar. The crew was flying VFR in poor weather conditions and changed their route attempting to fly to the coast. The plane crashed in a wooded area, exploded and burned."
2006,Military - Kenya Air Force,Nairobi - Eastleigh Afb,Harbin Yunshuji Y-12-Ii,0,132,17,13,4,12,2,14,0,14,Kenya,While on approach the airplane flew into the side of Mount Marsabit which was obscured by clouds.
2006,Military - Lybian Arab Air Force,Sebha - N'Djamena,Antonov 74Tk-200,0,Ur-74038,6,0,6,0,6,6,0,6,Cameroon,"Upon arrival of the cargo flight, the crew indicated a technical problem to ATC and few minutes later the plane crashed in an open field located near N'Djamena,"
2006,U.S. Government (Leased),Kabul - Kandahar - Lashkar Gah,Antonov An-32B,0,Zs-Pdv,16,12,4,0,2,2,3,5,Afghanistan,A cargo plane carrying U.S. anti-narcotics officials crashed while attempting to land at Bost Airport in Lashkar Gah. The plane overran the runway and crashed into a residential area after trying to avoid a truck that pulled onto the runway. The pilot pulled up to avoid hitting the truck but was unable to gain sufficient speed to remain airborne.
2006,Armavia,"Yerevan, Armenia - Sochi, Russia",Airbus A320-211,0,Ek-32009,113,105,8,105,8,113,0,113,Russia,"The jetliner crashed into the Black Sea and broke up in driving rain and low visibility after making a second attempt to land. The plane disappeared from radar screens just under four miles from shore and crashed after making a turn and heading toward Adler airport for a landing. Pilot error. The captain, being in a psychoemotional stress condition, made nose down control inputs due to the loss of pitch and roll awareness.This started the abnormal situation. The captain's insufficient pitch control inputs led to a failure to recover the aircraft and caused it to crash. Along with the inadequate control inputs from the captain, the contributing factors of the crash were also the lack of monitoring the aircraft's pitch attitude, altitude and vertical speed by the first officer and no proper reaction by the crew to GPWS warnings."
2006,Saskatchewan Government Northern Air Operations,Training,Convair Cv-580,0,C-Gskj,3,0,3,0,1,1,0,1,Canada,"On a climbout after a touch-and-go landing, the aircraft veered to the left, lost altitude and crashed in a wooded area 1 nm northwest of the airport."
2006,Air São Tomé,Training,De Havilland Canada Dhc-6 Twin Otter 300,0,S9-Bal,4,2,2,2,2,4,0,4,São Tomé and Príncipe,The aircraft disappeared from radar screens while on approach to São Tomé Island. The aircraft crashed in sea a  few km off shore.
2006,Military - Chadian Air Force,N'Djamena - Abéché,Lockheed C-130 Hercules,0,Tt-Paf,7,0,7,0,5,5,0,5,Chad,"The military plane crashed into trees past the end of the runway as it tried to land at night at an unlit airport. Chadian rebels however, claim to have shot it down with a surface-to-air missile. The pilot and copilot survived."
2006,Yeti Airlines,Surkhet - Jumla,De Havilland Canada Dhc-6 Twin Otter 300,0,9N-Aeq,9,6,3,6,3,9,0,9,Nepal,The plane crashed into a mountain on the east side of the airport after the pilot executed a go-around. The accident happened 1 kilometer from the airport.
2006,Mango Airlines,Goma - Kisangani,Antonov An-12B,0,9Q-Cvt,5,2,3,2,3,5,0,5,Democratic Republic of the Congo,The cargo plane had engine failure and struck a hill as it lost altitude.
2006,Sibir (S7),Moscow - Irkutsk,Airbus A-310-324Et,0,F-Ogyp,203,195,8,120,5,125,0,125,Russia,"The plane was landing at Irkutsk International Airport in rain and low visibility when it veered off and overran the runway, struck a building and burst into flames. It was reported the plane was traveling at a high rate of speed when it landed. Crew error. The mistaken and uncontrolled actions by the crew at the stage of slowing down after landing. The unintentional and uncontrolled movement in one of the engines, which was not detected by the crew in time."
2006,Pakistan International Airlines,Multan - Lahore,Fokker F-27 Friendship 200,0,Ap-Bal,45,41,4,41,4,45,0,45,Pakistan,"The plane lost an engine during take off, struck power lines and crashed into a wheat field bursting into flames. Possible engine fire."
2006,Tracep,Lugushwa - Bukavu,Antonov An-28,0,9Q-Com,17,14,3,14,3,17,0,17,Democratic Republic of the Congo,The aircraft was flying in low cloud and poor weather conditions as it approached the airport at Bukavu when it clipped a mountainside and plunged into the forest in flames 9 miles short of the runway.
2006,Airnow,"Binghamton, Ny - Benningham, Vt",Embraer 110 Bandeirante,0,N59Ba,1,0,1,0,1,1,0,1,United States,"The cargo plane was flying to Benningham for weekly maintenance but was diverted to Albany because of poor visibility. After an aborted first try the plane circled for another attempt but struck a mountainside. The pilot's misinterpretation of the airplane's position relative to the final approach fix, which resulted in the displacement of the descent profile by 6 nautical miles and the subsequent controlled flight into rising terrain. Contributing to the accident were the low clouds."
2006,Air Algerie,Algiers - Frankfurt,Lockheed L-100-30 Hercules,0,7T-Vhg,3,0,3,0,3,3,0,3,Italy,The cargo plane crashed after reporting engine problems while en route .
2006,Pulkovo Airlines,Anapa - St. Petersburg,Tupolev Tu-154M,0,Ra-85185,170,160,10,160,10,170,0,170,Ukraine,"The plane disappeared from radar shortly after making a distress call. A distress call was made at FL330 and again at FL100. The aircraft was reportly on fire before it crashed. The plane crashed in a field, 30 miles North of Donetsk and broke-up. Weather forecasters reported thunderstorms and lightning in the area at the time of the crash. The crew pushed the aircraft beyond its limits as they attempted to fly around a thunder storm. The crew steered the aircraft under manual control into an angle of attack that was beyond critical which resulted in  a stall and the subsequent transition into a flat spin and a collision with the ground."
2006,Comair,Lexington - Atlanta,Canadair Crj-200Er,0,N431Ca,50,47,3,47,2,49,0,49,United States,"The jet commuter was the third of three airplanes to take off that morning. The previous two planes took off from Runway 22 without any problems. The flightcrew was cleard to taxi to Runway 22 and subsequently cleared for takeoff. However, flight 5191 used Runway 26, which is about half the length of Runway 22. The plane accelerated to 137 knots befoe it ran off the end of the runway, ran through an airport perimeter fence and impacted trees on an adjacent horse farm and burst into flames. The takeoff sequence took about 36 seconds.  The aircraft was still on the ground as the plane ran off the runway.The plane came to rest about 1,800 feet past the runway. It was dark with light rain at the time of the accident. The copilot was at the controls but it was the captain who taxied the plane into position for take off. The copilot was the lone survivor. The flight crew's failure to use available cues and aids to identify the airplane's location on the airport surface during taxi and their failure to cross check and verify that the airplane was on the correct runway before takeoff. Contributing to this accident were the flight crew's nonpertinent conversation during taxi, which resulted in loss of positional awareness and the Federal Aviation Administration's failure to require that all runway crossings be authorized only by specific air traffic control clearances."
2006,Iran Air Tours,Bandar Abbas - Mashad,Tupolev Tu-154M,0,Ep-Mcf,148,137,11,29,0,29,0,29,Iran,The plane crashed while attempting to land. The plane's left wing may have come into contact with the ground causing the plane to skid off the runway and catch fire.
2006,Military - Nigerian Air Force,Abuja - Obudu,Dornier 228,0,Naf033,18,15,3,11,2,13,0,13,Nigeria,"The military plane crashed en route less than 20 minutes from the end of a one-hour flight, 18 nm from its destination. Ten top ranking military officials were killed in the crash. The weather was poor at the time of the accident."
2006,Gol Airlines / Private,Manaus - Brasilia,Boeing B-737-8Eh /Emb-135Jb,1,Pr-Gtd / N600Xl,161,153,8,148,6,154,0,154,Brazil,"The flight disappeared from radar at 16:50 after leaving Manaus at 15:35, scheduled to arrive at Brasilia at 18:12. While en route the jetliner collided with an Embraer EMB-135BJ Legaacy 600 business jet. The Embraer was able to land safely at Serra de Cachimbo with a damaged wing and tail. Five passengers and two crew members on the Embraer were not injured. All 154 on board the 737 were killed. The flight recorder transcript from the executive jet showed that the pilots were told by Brazilian air traffic control to fly at the same altitude as the Boeing 737 before the planes collided. A Brazilian Air Force investigation concluded that a switched-off transponder on the EMB-135 contributed the plane crash. The report also said flight controllers failed to alert the pilots they were on a collision course and failed to notice the transponder was turned off."
2006,Atlantic Airways,Stavanger - Stord,Bae 146-200,0,Oy-Crg,16,12,4,3,1,4,0,4,Norway,"While attempting to land, the charter plane skidded off the end of the runway, slid down an embankment and caught fire. One survivor was seriously hurt, eleven others were not seriously injured. Burning fuel in the cabin was the main reason three passengers and one crew member died and six others were badly injured. All six spoilers failed while landing. Even with the failed spoilers, a damp runway and a slight tailwind, there should have been sufficient room to stop. However, when the pilots realized the spoilers had failed, one of them selected emergency braking not realizing that this deactivated the antilock braking system."
2006,Military - Russian Air Force/Uzbekistan Airways,Training/Aranchi,Antonov An-2,0,Uk-70152,15,13,2,13,2,15,0,15,Russia,"The plane belonging to Uzbekistan Airways and carrying Uzbek servicemen, crashed after losing control while attempting to land in poor weather conditions. On it's final approach, fog reduced visibility and the aircraft descended below the MDA. It crashed a few miles from the airport."
2006,Adc Airlines,Lagos - Abuja - Sokoto,Boeing 737-2B7,0,5N-Bfk,105,100,5,92,4,96,0,96,Nigeria,The jetliner crashed into a corn field about a mile from the end of the runway while attempting to take off from Abuja. The pilot did not heed air traffic controllers' advice to not depart in stormy weather. The pilots’ incorrect actions stalled the plane.
2006,Trigana Air Service,Mulia - Ilaga,De Havilland Canada Dhc-6 Twin Otter 300,0,Pk-Ypy,12,9,3,9,3,12,0,12,Indonesia,The aircraft struck a mountain seven minutes before it was scheduled to land in the remote Indonesian province of Papua.
2006,Aerosucre Colombia,Bogota - Leticia,Boeing 727-23F,0,Hk-3667X,5,2,3,2,3,5,0,5,Colombia,The cargo plane was on final approach when it hit a antenna tower and crashed. Fog and poor visibility prevailed at the time of the accident.
2006,Military - Iranian Revolutionary Guard Corps Air Force,Tehran - Shiraz,Antonov 74T-200,0,15-2255,38,32,6,32,6,38,0,38,Iran,"The aircraft crashed after losing the right engine during a critical point in the takeoff. The plane stalled, veered to the right and crashed in flames. Three survivors later died in the hospital."
2006,Air Ambulance - Mercy Air Services,Loma Linda - Victorville,Bell 412,0,N410Ma,3,0,3,0,3,3,0,3,United States,"The air ambulance crashed on a repositioning flight from Loma Linda Medical Center to its home base in Victorville. The pilot and two crew members were killed. No patients were aboard. The pilot's inadvertent encounter with instrument meteorological conditions and subsequent failure to maintain terrain clearance. Contributing to the accident were the dark night conditions, fog, and mountainous terrain."
2007,Adam Air,"Surabaya, East Java - Manado, Indonesia",Boeing B-737-4Q8,0,Pk-Kkw,102,96,6,96,6,102,0,102,Indonesia,"While flying at FL350 the airliner went missing between Surabaya and Manado in poor weather conditions after the pilot reported strong winds. Wreckage was found 5 miles south of Parepare. The accident was caused by the autopilot being accidentally disconnected. The two pilots had been trying to fix a problem with the plane's navigation instruments when they disconnected the autopilot and lost control of the plane. Without the autopilot, the plane went out of control, listing to the right and pitching down. The IRS navigation system was repeatedly reported malfunctioning but was never repaired. This is what initially distracted the crew."
2007,Moldovan Aeriantur-M Air Cargo,"Adana, Turkey - Balad Air Base, Iraq",Antonov 26B-100,0,Er-26068,35,30,5,29,5,34,0,34,Iraq,"The cargo plane crashed in fog while attempting to land for a second time at Balad Air Base. After the first attempt to land was aborted, the plane crashed 2.5km short of the runway.The plane was carrying Turkish construction workers."
2007,Regional Compagnie Aerienne Europeenne,Pau - Paris,Fokker 100,0,F-Gmpg,54,50,4,0,0,0,1,1,France,"The crew abandoned their takeoff after the loss of an engine due to bird ingestion. The jet overshot the runway and collided with a truck, killing the driver. The landing gear sheared off and the plane came to rest in a field."
2007,Garuda Indonesia Airlines,Jakarta - Yogyakarta,Boeing B-737-497,0,Pk-Gzc,140,133,7,21,1,22,0,22,Indonesia,"While attempting to land, the plane overshot the runway, crashed through the airport barrier fence and burst into flames. The cockpit voice recorder revealed that the pilot and co-pilot were arguing over their speed and wing flap angles moments before the crash. An investigator stated the passenger jet was flying at up to 265 mph, almost double the normal landing speed, while attempting to land. The captain ignored the plane’s automated warning system as it sounded alarms fifteen times. He also ignored calls from the co-pilot to go around and make another approach."
2007,Heli-Usa Airways,Sightseeing,Aerospatiale As350Ba Rotocraft,0,N354Nt,7,6,1,3,1,4,0,4,United States,"The helicopter crashed on Kauai shortly after the pilot radioed that he was having problems with the hydraulics. The helicopter hit the ground about 200 yards from it's normal landing pad. The failure of maintenance personnel to properly tighten (torque) the flight control servo lower attachment clevis, and reinstall a functioning lock washer, which resulted in a flight control disconnect and a complete loss of helicopter control. Contributing to the accident was the operator's failure to ensure its maintenance program was being executed in accordance with Federal regulations."
2007,"Bahia Taxi Aéreo	Bahia Taxi Aéreo	Bahia Taxi Aéreo",Petrolina - Salvador,Rockwell 500S Shrike Commander,0,Pp-Sec,4,2,2,2,2,4,0,4,Brazil,"Fifteen minutes before arriving at its destination  the crew informed ATC about a technical problem and that they were losing altitude. Few minutes  later, the twin engine plane crashed into an open field."
2007,Utair Airlines,Surgut - Samara,Tuolev 134Ak,0,Ra-65021,57,50,7,6,0,6,0,6,Russia,"While attempting to land in heavy fog, the airplane contacted the ground 400 m short of the runway. The left wing hit the ground and separated from the fuselage. The plane then rolled over inverted and the fuselage broke apart. The accident can be blamed on both the controller, who did not inform the pilot about the reduced visibility in time due to organizational problems, and on the pilot, who did not give the dispatcher the correct information about his landing trajectory and, consequently, did not decide to stop the landing procedure and try to take another approach at the time he should have done so."
2007,Transaviaexport Airlines,Mogadishu - Djibouti,Ilushin Il-76Td,0,Ew-78849,11,5,6,5,6,11,0,11,Somalia,"The cargo plane, carrying African peacekeepers, was struck by an anti-aircraft missile shortly after taking off from Mogadishu Airport. The aircraft lost a wing into the Indian Ocean and shortly thereafter crashed in the eastern outskirts of Mogadishu."
2007,Air Services,Kato - Kopinang,Pilatus Britten Norman Bn-2A-27 Islander,0,8R-Get,5,4,1,2,1,3,0,3,Guyana,The plane landed at Kato and could not take off because of bad weather. Twenty minutes after eventually taking off the plane crashed into mountains while en route. A mother and her five-year-old son walked for about 16 hours through Guyana's jungle to safety after surviving the crash.
2007,Kenya Airways,"Abidjan, Ivory Coast - Douala, Cameroon - Nairobi, Kenya",Boeing B-737-8Al,0,5Y-Kya,114,105,9,105,9,114,0,114,Cameroon,"The plane crashed in a dense, swampy forested area, 5 km from Douala Airport, moments after taking off in stormy weather. The plane was just six months old.  After take off, the plane was banking right and the pilot did not notice the inclination, but when he did, he banked the craft further right. The pilot released the flight controls for nearly one minute without engaging the auto pilot, which could have corrected the banking angle, then at 34 degrees. However, his intervention worsened the tilt. The captain grabed the controls, appeared confused about the attitude of the airplane and made corrections in an erratic manner increasing the banking angle to 50 degrees. When the bank angle increased to 70 degrees, the captain stated ""we are crashing."" The first officer told him to level the aircraft, but quickly corrected himself and said ""left, left, left captain. The aircraft  then plunged nose down into a mangrove swamp."
2007,Military - French Air Force,El-Gora - Santa Katarina,De Havilland Canada Dhc-6 Twin Otter,0,742/Cb,9,5,4,5,4,9,0,9,Egypt,"Collided with a truck while attempting to make an emergency landing on a road. French soldiers aboard were with  the Sinai's peacekeeping force, the Multinational Force & Observers."
2007,Safe Air Complany,Walikale - Goma,Let 410Uvp,0,Tn-Ahe,3,1,2,1,2,3,0,3,Congo,An engine on the cargo plane caught fire shortly after taking off. An emergency return attempt to the airstrip was unsuccessful and the plane crashed into a nearby forest.
2007,Military - Peruvian Air Force,Iquitos - Pucallpa,De Havilland Canada Dhc-6 Twin Otter 300,0,Fap-303,20,17,3,10,3,13,0,13,Peru,Crashed into dense jungle shortly after taking off from Pampa Hermosa. The plane hit a hill and split in two.
2007,University Of Michigan Health System,"Milwaukee, Wi - Detroit, Mi",Cessna 550 Citation Ii,0,N550Bp,6,4,2,4,2,6,0,6,United States,"The pilot issued a distress signal within five minutes of taking off from General Mitchell International Airport in Milwaukee, requesting an emergency return to the airport. The plane then crashed into Lake Michigan two miles off shore. The plane was carrying an organ transplant team. The pilot reported to ATC he had runaway trim prior to the accident. The pilot's mismanagement of an abnormal flight control situation through improper actions including lack of crew coordination and failing to control airspeed and to prioritize control of the airplane. The event was controllable if the captain had not allowed the airspeed and resulting control forces to increase while he tried to troubleshoot the problem. By allowing their airplane's speed to increase while engaging in poorly coordinated troubleshooting efforts, the pilots allowed and abnormal situation to escalate to an emergency."
2007,Karibu Airways,Kamina - Lubumbashi,Let 410Uvp,0,9Q-Ceu,25,22,3,1,0,1,0,1,Congo,The plane crashed shortly after taking off into a swamp coming to rest upside down. A parliment member of the Democratic Republic of Congo was killed.
2007,Pmt Air,Siem Reap - Sihanoukville,Antonov An-24V,0,Xu-U4A,22,16,6,16,6,22,0,22,Cambodia,"The aircraft crashed into Phnom Damrey Mountain at an elevation of 1,640 feet, about 5 minutes from its destination of Sihanoukville."
2007,Taag Angola Airlines,Luanda - M'Banza,Boeing 737-2M2,0,D2-Tbp,78,69,9,4,1,5,0,5,Angola,"The crew undershot the runway and blew two tires on landing, causing the landing gear to collapse and one wing to dip and touch the runway. The plane then veered out of control, overran the runway and crashed into cars and a building."
2007,Liard Air,Muncho Lake - Vancouver,De Havilland Dhc-6 Twim Otter 100,0,C-Fawc,5,3,2,1,0,1,0,1,Canada,The twin engine plane crashed shortly after taking off from a gravel airstrip at Muncho Lake. One passenger was killed.
2007,Tam (Brazil),Porto Alegre - Sao Paulo,Airbus A-320-233,0,Pr-Mbk,187,181,6,181,6,187,12,199,Brazil,"The jet airliner crashed while attempting to land in heavy rain at Congonhas airport. The plane skidded off the end of the runway across a major roadway and struck a gas station and building, bursting into flames.  The right engine had a malfunctioning reverser. In this situation, the correct procedure was for the pilot to retard both throttles to idle and then advance both throttles to reverse, as if he had no problem with the reversers. The former procedure, which was changed by Airbus, was to take both throttles to idle, and then advance just the throttle corresponding to the engine with the operating reverser. It was changed by Airbus because there had been several incidents where the pilot forgot to bring both throttles back to idle, leaving one engine reversed and the other thrusting forward. The downside to this change was it would lengthen the stopping distance. The pilot was so concerned about the short and slippery runway that he chose to switch to the old procedure and got it wrong. A contributing factor was the heavy rain and wind and the fact that the newly resurfaced runway had not had grooves installed yet."
2007,Djibouti Airlines,Dire Dawa - Djibouti,Antonov An-26V,0,Ex-030,9,3,6,1,0,1,0,1,Ethiopia,The cargo plane crashed shortly after taking off after an engine failed. The pilot was trying to return for an emergency landing.
2007,Taquan Air Service,Sightseeing,De Havilland Dhc-2 Mk.1 Beaver,0,N995Wa,5,4,1,4,1,5,0,5,United States,"The single engine aircraft crashed onto a heavily forested mountain, 30 miles east of Ketchican while on a sightseeing trip over Misty Fiords. The pilot's decision to continue under visual flight rules into an area of instrument meteorological conditions. Contributing to the accident was the pilot's inadequate weather evaluation and the FAA's inadequate surveillance of the commercial air tour operator."
2007,Atran,Sightseeing,Antonov An-12Bp,0,Ra-93912,9,0,9,0,9,9,0,9,Russia,"The cargo plane, carrying 9 tons of cargo, crashed 4 km from the runway as it was attempting to take off from Domodedovo airport. The aircraft slammed into a field shattering debris over a wide area."
2007,Air Moorea,Moorea - Papeete,De Havilland Canada Dhc-6 Twin Otter 300,0,F-Oiq,20,19,1,19,1,20,0,20,Polynesia,Soon after taking off the plane began loosing altitude and veered to the right until it crashed into the sea 1 mile beyond the runway. Loss of pitch control of the aircraft following a break in an elevator cable.
2007,Seawind Aviation,Sightseeing,De Havilland Canada Dhc-2 Beaver,0,N345Ka,10,9,1,6,0,6,0,6,United States,"The float plane crashed on land into a tree, 200 feet from shore, while attempting to land. High winds were in the area at the time of the accident. The  pilot's poor decision-making and inadequate planning. To avoid the rising waves, the pilot decided to take off toward the sheltered interior of the bay, toward the rising terrain, in a direction he had never attempted before. As the pilot attempted to turn the aircraft around, the airplane hit a downdraft, which held it from climbing above the closing landscape and caused the plane to stall about 60 feet over the ground."
2007,China Airlines,Taipei - Naha,Boeing 737-809,0,B-18616,165,157,8,0,0,0,0,0,Japan,"After a normal landing, the slats were retracted,and the mechanism came to rest as usual against the fuel tank.  On the right wing, a stop bolt that had come loose was pushed into the tank, breaching it.  The leaking fuel blew away during taxi, but once the plane stopped at the terminal, it spilled straight down and ignited from the engine's hot tailpipe. Everyone was able to evacuate but the plane was destroyed.  Boeing, aware of this failure mode due to past incidents, had ordered the nut at the end of the stop bolt to be glued on but to do this, the maintenance technician had to work awkwardly by feel and had inadvertently lost the associated washer that actually retained the bolt in place."
2007,Two Taxi Aero,Curitiba - Jundiai,Embraer Emb-110P1 Bandeirant,0,Pt-Sdb,2,0,2,0,2,2,0,2,Brazil,Crashed shortly after taking off from Curitiba
2007,Great Lakes Business Complany,Kongolo - Goma,Antonov An-32,0,9Q-Cac,15,12,3,11,3,14,0,14,Democratic Republic of the Congo,"The cargo plane, carrying tin ore, lost one of it's two engines eleven minutes after taking off and tried to return to the airport. Due to strong back winds and a fully loaded plane, the aircraft clipped tree tops and crashed and burned 3 km short of the runway. The plane was overloaded by 3 tons."
2007,Galaxy Kavatsi Airlines,Kisangi - Goma - Bukavu,Antonov An-12Bp,0,4L-Sas,8,6,2,6,2,8,0,8,Democratic Republic of the Congo,"The cargo plane, carrying palm oil, overshot the runway, crashed into a petrified lava flow and caught fire."
2007,One-Two-Go Airlines,Bangkok - Phuket,Mcdonnell Douglas Md-82,0,Hs-Omg,130,123,7,85,5,90,0,90,Thailand,"While landing in heavy rain and strong cross winds, the aircraft skidded off the runway, struck an earth embankment and caught fire. The pilot attempted to land, despite 15 warning alarms and his copilot's calls to abort the attempt. Also, the plane was traveling faster and descending more sharply than normal."
2007,Karibu Airways,Lubumbashi - Malemba Nkulu,Let 410,0,9Q-Cvl,6,5,1,0,1,1,0,1,Democratic Republic of the Congo,Crashed while attempting to land and came to rest in a cemetery.
